Date	Title	URL
19-May-2015	The Radical Dissent of Helen Keller	http://www.yesmagazine.org/people-power/the-radical-dissent-of-helen-keller
26-May-2015	From the vault: Got lots to say? Save it for the Q&A	http://eloquentwoman.blogspot.co.uk/2015/04/from-vault-got-lots-to-say-save-it-for-q.html
26-May-2015	A TED speaker coach shares 11 tips for right before you go on stage	http://blog.ted.com/a-ted-speaker-coach-shares-11-tips-for-right-before-you-go-on-stage/
26-May-2015	Conference travel expenses	http://afilina.com/conference-travel-expenses/
26-May-2015	Defeating The Fear Monster Of Public Speaking	http://fionachan.net/2015/05/defeating-the-fear-monster-of-public-speaking.html
26-May-2015	MAKING THE CASE FOR THE CUTTING EDGE AT LAMBDACONF 2015	http://farmdawgnation.com/blog/2015/5/24/the-case-for-the-cutting-edge
26-May-2015	Trey Ratcliff At TEDx – The Search For What Is Out There	http://www.stuckincustoms.com/2015/05/18/trey-ratcliff-at-tedx-the-search-for-what-is-out-there/
2-Jun-2015	MOVING PAST MY EMBARRASSMENT	http://amysmartgirls.com/moving-past-my-embarrassment/
2-Jun-2015	Why Do These Women's Voices Bother You So Much?	http://www.refinery29.com/2015/05/87351/female-podcast-voices-vocal-fry
2-Jun-2015	Sandi Metz	http://us3.campaign-archive1.com/?u=1090565ccff48ac602d0a84b4&id=936623753d&e=9297063016
2-Jun-2015	TDD for Speaking	http://blog.geekmanager.co.uk/2015/05/31/tdd-for-speaking/
2-Jun-2015	OSCON 2015	http://www.oscon.com/open-source-2015
2-Jun-2015	"Becky Boone -- ""Why you should care about your local government"" at Ignite Boulder 25"	https://www.youtube.com/watch?v=Mme2iqk1IYU
9-Jun-2015	Looking beyond a code of conduct	http://www.mostgood.net/blog/2015/5/31/looking-beyond-a-code-of-conduct
9-Jun-2015	Tech Conferences w/Scholarships	https://storify.com/radiomorillo/tech-conferences-w-scholarships
9-Jun-2015	Rollercoaster ride of development	https://storify.com/gembarrett/rollercoaster-ride-of-development
9-Jun-2015	Android Developer Backstage Backstage	http://blog.sqisland.com/2015/06/adb-podcast.html
9-Jun-2015	Presenting Presenting. Tips and thoughts on preparing and giving engaging presentations	https://medium.com/@chethaase/presenting-presenting-17233fa13aa5
9-Jun-2015	A great breathing exercise for public speakers!	https://www.pinterest.com/pin/563018680290735/
9-Jun-2015	Quotes for public speakers	https://www.pinterest.com/dgraveline/quotes-for-public-speakers/
16-Jun-2015	I’m not going to GHC, and neither should you.	http://blog.randi.io/2015/06/08/im-not-going-to-ghc-and-neither-should-you/
16-Jun-2015	Twenty To Texas: Why we need to fund GHC ‘15	https://medium.com/@KatherineCass/twenty-to-texas-why-we-need-to-fund-ghc-15-c2f17ee09218
16-Jun-2015	Google IO Women Techmakers Interview	http://www.kiodev.com/google-io-women-techmakers-interview/
16-Jun-2015	ON CONFERENCING WHILE INTROVERTED	http://beero.ps/2015/05/31/on-conferencing-while-introverted/
16-Jun-2015	Support Self.conference!	http://selfconference.org/support
16-Jun-2015	RedDotRuby 2015 - Lightning Talk: Doodling for Great Success by Radamanthus Batnag	https://www.youtube.com/watch?v=tyNrAzTbx3I
23-Jun-2015	How to make someone's conference speaking experience awesome!	http://anna-oz.tumblr.com/post/121185777890/how-to-make-someones-conference-speaking
23-Jun-2015	CODE OF CONDUCT, ACCESSIBILITY, ETIQUETTE	http://www.alterconf.com/code-of-conduct
23-Jun-2015	Diversity and Subsidized Passes	http://blog.xoxofest.com/post/121224460200/diversity-and-subsidized-passes
